origen,id_vivo,catalog_key,depto,dept_key,name_es,name_en,rank,binding,hod_capable,grade,existence,is_hod_vivo,usos,conflicto
ambos,37,video.dit,Cámara,camera,DIT,DIT,10,unit,1,key,core,0,0,HOD difiere
ambos,32,camera.dop,Cámara,camera,Director de Fotografía,Director of Photography,10,unit,1,manager,core,1,1,
solo vivo,39,,Cámara,camera,Asistente de DoP,FALTA,20,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
ambos,33,camera.operator,Cámara,camera,Operador de Cámara,Camera Operator,30,unit,0,key,core,0,6,
solo semilla,,camera.steadicam,Cámara,camera,Operador de Steadicam,Steadicam Operator,30,unit,0,key,conditional,,0,NUEVO desde semilla
ambos,34,camera.first_ac,Cámara,camera,1er AC,First AC,40,unit,0,key,core,0,0,
ambos,38,video.data_manager,Cámara,camera,Data Manager,Data Manager,40,unit,0,operator,core,0,0,
solo semilla,,camera.second_ac,Cámara,camera,2do Asistente de Cámara,Second AC,50,unit,0,assistant,core,,0,NUEVO desde semilla
solo vivo,35,,Cámara,camera,2ndo AC,FALTA,50,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo semilla,,camera.drone_operator,Cámara,camera,Operador de Drone,Drone Operator,50,unit,0,operator,conditional,,0,NUEVO desde semilla
solo semilla,,camera.loader,Cámara,camera,Cargador,Loader,60,unit,0,assistant,conditional,,0,NUEVO desde semilla
solo vivo,36,,Cámara,camera,Cámara PA,FALTA,60,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo semilla,,video.video_assist,DIT / Video,video,Video Assist,Video Assist,40,unit,0,operator,core,,0,NUEVO desde semilla
ambos,88,set_dec.set_decorator,Decoración,set_dec,Decorador,Set Decorator,10,production,1,manager,core,1,1,
solo vivo,94,,Decoración,set_dec,Apoyo Decorador en Set,FALTA,20,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo vivo,93,,Decoración,set_dec,Asistente Decorador en Set,FALTA,20,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo vivo,89,,Decoración,set_dec,Decorador en Set,FALTA,20,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo vivo,90,,Decoración,set_dec,Coordinador de Decoración,FALTA,30,production,0,,core,0,0,PROPUESTO: rank/binding/name_en
ambos,96,set_dec.leadman,Decoración,set_dec,Leadman,Leadman,30,unit,0,key,core,0,0,
solo vivo,98,,Decoración,set_dec,Asistente de Decoración,FALTA,50,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo vivo,91,,Decoración,set_dec,Asst. Coord. de Decoración,FALTA,50,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
ambos,99,set_dec.warehouse,Decoración,set_dec,Bodeguero,Warehouse Manager,50,production,0,operator,core,0,0,
solo vivo,95,,Decoración,set_dec,Compras de Decoración,FALTA,50,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
ambos,92,set_dec.on_set_dresser,Decoración,set_dec,Set Dresser,On-Set Dresser,50,unit,0,assistant,core,0,5,
ambos,97,set_dec.swing_gang,Decoración,set_dec,Swing Gang,Swing Gang,60,unit,0,operator,core,0,0,
ambos,1,direction.director,Dirección,direction,Director,Director,10,block,1,manager,core,1,1,
ambos,3,direction.script_supervisor,Dirección,direction,Continuista,Script Supervisor,40,unit,0,key,core,0,0,
solo vivo,2,,Dirección,direction,Asistente de Director,FALTA,50,unit,0,,core,0,2,PROPUESTO: rank/binding/name_en
solo vivo,4,,Dirección,direction,Asst. Continuista,FALTA,50,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
ambos,150,sfx.supervisor,Efectos Especiales,sfx,Supervisor de Efectos Especiales,SFX Supervisor,10,unit,1,supervisor,conditional,1,1,
solo semilla,,sfx.coordinator,Efectos Especiales,sfx,Coordinador de Efectos Especiales,SFX Coordinator,30,unit,1,coordinator,conditional,,0,NUEVO desde semilla
solo vivo,152,,Efectos Especiales,sfx,Efectos Especiales Oficina,FALTA,50,production,0,,core,0,0,PROPUESTO: rank/binding/name_en
ambos,151,sfx.technician,Efectos Especiales,sfx,Efectos Especiales,SFX Technician,60,unit,0,operator,conditional,0,2,
ambos,164,vfx.supervisor,Efectos Visuales,vfx,Supervisor de VFX,VFX Supervisor,10,production,1,supervisor,conditional,1,0,
ambos,163,vfx.producer,Efectos Visuales,vfx,Productor de VFX,VFX Producer,20,production,0,manager,conditional,1,0,HOD difiere
solo vivo,165,,Efectos Visuales,vfx,Supervisor de VFX en Set,FALTA,20,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo semilla,,vfx.coordinator,Efectos Visuales,vfx,Coordinador de VFX,VFX Coordinator,30,production,1,coordinator,conditional,,0,NUEVO desde semilla
solo semilla,,vfx.on_set_data,Efectos Visuales,vfx,Data Wrangler de VFX,VFX Data Wrangler,50,unit,0,assistant,conditional,,0,NUEVO desde semilla
ambos,40,electric.gaffer,Eléctricos,electric,Gaffer,Gaffer,10,unit,1,manager,core,1,1,
solo vivo,41,,Eléctricos,electric,Supervisor de Eléctricos,FALTA,20,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo semilla,,electric.best_boy,Eléctricos,electric,Best Boy Electric,Best Boy Electric,30,unit,0,key,core,,0,NUEVO desde semilla
ambos,43,electric.board_op,Eléctricos,electric,Operador de Consola,Board Operator,50,unit,0,operator,core,0,0,
ambos,42,electric.technician,Eléctricos,electric,Eléctrico,Set Lighting Technician,60,unit,0,operator,core,0,5,
solo semilla,,electric.genny_operator,Eléctricos,electric,Operador de Planta,Genny Operator,60,unit,0,operator,core,,0,NUEVO desde semilla
ambos,200,grip.dolly_grip,Equipo,,Dolly,Dolly Grip,40,unit,0,key,core,0,0,
solo vivo,198,,Equipo,,Asistente/Luces,FALTA,50,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo vivo,201,,Equipo,,Cabeza Remota,FALTA,50,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo vivo,197,,Equipo,,Móvil Alpha,FALTA,50,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo vivo,199,,Equipo,,Planta Set,FALTA,50,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
ambos,28,executive.showrunner,Escritores,writers,Creador/Escritor,Showrunner,5,production,1,manager,core,1,0,
ambos,29,writers.writer,Escritores,writers,Escritor,Writer,30,block,0,,core,0,0,
ambos,30,writers.script_coordinator,Escritores,writers,Coordinador de Guiones,Script Coordinator,40,production,0,coordinator,core,0,0,
solo vivo,31,,Escritores,writers,Storyboardista,FALTA,50,production,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo vivo,158,,Extras,casting,Director de Casting de Extras,FALTA,10,unit,1,,core,1,0,PROPUESTO: rank/binding/name_en
ambos,159,casting.extras_coordinator,Extras,casting,Coordinador de Extras,Extras Casting,30,unit,1,coordinator,core,0,0,HOD difiere
ambos,44,grip.key_grip,Grips,grip,Key Grip,Key Grip,10,unit,1,manager,core,1,1,
ambos,47,grip.dolly_grip,Grips,grip,Dolly Grip,Dolly Grip,40,unit,0,key,core,0,0,
solo vivo,46,,Grips,grip,Grip Asst.,FALTA,50,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
ambos,45,grip.grip,Grips,grip,Grip,Grip,60,unit,0,operator,core,0,5,
solo semilla,,writers.head_writer,Guion,writers,Jefe de Guion,Head Writer,10,production,1,manager,core,,0,NUEVO desde semilla
solo semilla,,greens.greensman,Jardinería de Escena,greens,Jardinero de Escena,Greensman,10,unit,1,key,conditional,,0,NUEVO desde semilla
solo semilla,,greens.greens_assistant,Jardinería de Escena,greens,Asistente de Jardinería,Greens Assistant,50,unit,0,assistant,conditional,,0,NUEVO desde semilla
solo vivo,126,,Locaciones,locations,Gerente Asst. de Locaciones,FALTA,10,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
ambos,125,locations.manager,Locaciones,locations,Gerente de Locaciones,Location Manager,10,unit,1,manager,core,1,1,
solo vivo,132,,Locaciones,locations,Gerente de Soporte de Locaciones,FALTA,10,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo semilla,,locations.key_assistant,Locaciones,locations,Asistente Clave de Locaciones,Key Assistant Location Manager,30,unit,0,key,core,,0,NUEVO desde semilla
solo vivo,128,,Locaciones,locations,Asst. Coordinador de Locaciones,FALTA,30,production,0,,core,0,0,PROPUESTO: rank/binding/name_en
ambos,127,locations.coordinator,Locaciones,locations,Coordinador de Locaciones,Locations Coordinator,30,production,1,coordinator,core,0,0,HOD difiere
ambos,137,locations.scout,Locaciones,locations,Scouter,Location Scout,40,production,0,key,core,0,0,
solo vivo,134,,Locaciones,locations,Apoyo de Limpieza,FALTA,50,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
ambos,129,locations.assistant,Locaciones,locations,Asst. de Locaciones,Assistant Location Manager,50,unit,0,assistant,core,0,6,
solo vivo,130,,Locaciones,locations,P.A. de Locaciones,FALTA,50,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo vivo,136,,Locaciones,locations,Personal de Loc.,FALTA,50,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
ambos,131,locations.support,Locaciones,locations,Apoyo de Locaciones,Locations Support,60,unit,0,operator,core,0,0,
ambos,135,locations.support,Locaciones,locations,Encargado de Basecamp,Locations Support,60,unit,0,operator,core,0,0,
ambos,133,locations.support,Locaciones,locations,Soporte de Locaciones,Locations Support,60,unit,0,operator,core,0,0,
solo vivo,57,,Maquillaje y Peinados,hmu,Diseñador de M&P,FALTA,10,unit,1,,core,1,1,PROPUESTO: rank/binding/name_en
solo semilla,,hmu.makeup_designer,Maquillaje y Peinados,hmu,Diseñador de Maquillaje,Makeup Department Head,10,production,1,manager,core,,0,NUEVO desde semilla
solo semilla,,hmu.hair_designer,Maquillaje y Peinados,hmu,Jefe de Peinados,Hair Department Head,10,production,1,manager,core,,0,NUEVO desde semilla
solo vivo,58,,Maquillaje y Peinados,hmu,Coordinador MU&H,FALTA,30,production,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo semilla,,hmu.coordinator,Maquillaje y Peinados,hmu,Coordinador de M&P,HMU Coordinator,30,production,1,coordinator,core,,0,NUEVO desde semilla
solo semilla,,hmu.key_makeup,Maquillaje y Peinados,hmu,Key de Maquillaje,Key Makeup Artist,40,unit,0,key,core,,0,NUEVO desde semilla
solo semilla,,hmu.key_hair,Maquillaje y Peinados,hmu,Key de Peinados,Key Hair Stylist,40,unit,0,key,core,,0,NUEVO desde semilla
solo semilla,,hmu.sfx_makeup,Maquillaje y Peinados,hmu,Maquillaje de Efectos,SFX Makeup Artist,40,unit,0,key,conditional,,0,NUEVO desde semilla
solo vivo,61,,Maquillaje y Peinados,hmu,Apoyo M&P,FALTA,50,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
ambos,59,hmu.makeup_artist,Maquillaje y Peinados,hmu,Asst. Maquillaje,Makeup Artist,50,unit,0,assistant,core,0,4,
ambos,60,hmu.hair_stylist,Maquillaje y Peinados,hmu,Asst. Peinados,Hair Stylist,50,unit,0,assistant,core,0,0,
solo vivo,162,,Música,,Supervisora de Música,FALTA,20,unit,1,,core,1,0,PROPUESTO: rank/binding/name_en
solo vivo,19,,Oficina de Producción,production,Asst. de Coordinador de Viajes,FALTA,30,production,0,,core,0,0,PROPUESTO: rank/binding/name_en
ambos,16,production.coordinator,Oficina de Producción,production,Coordinador de Producción,Production Coordinator,30,production,1,coordinator,core,1,1,
ambos,17,production.apoc,Oficina de Producción,production,APOC,APOC,40,production,0,assistant,core,0,3,
ambos,18,production.travel_coordinator,Oficina de Producción,production,Coordinador de Viajes,Travel Coordinator,40,production,0,coordinator,core,0,0,
solo vivo,21,,Oficina de Producción,production,Recepción de Oficina,FALTA,50,production,0,,core,0,0,PROPUESTO: rank/binding/name_en
ambos,20,production.office_pa,Oficina de Producción,production,Asst. de Oficina de Producción,Office PA,60,production,0,assistant,core,0,0,
solo vivo,194,,Otros,,Coordinadora de Intimidad,FALTA,30,production,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo vivo,193,,Otros,,Coach de Dialecto,FALTA,50,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
ambos,196,camera.stills,Otros,,Foto Fija,Stills Photographer,50,unit,0,key,core,0,0,
solo vivo,195,,Otros,,Intérprete de Señas,FALTA,50,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
ambos,192,stunts.performer,Otros,,Doble,Stunt Performer,60,unit,0,operator,conditional,0,0,
ambos,148,picture_cars.coordinator,Picture Cars,picture_cars,Coordinador de Picture Cars,Picture Car Coordinator,10,unit,1,coordinator,conditional,0,0,HOD difiere
ambos,147,picture_cars.coordinator,Picture Cars,picture_cars,Jefa de Picture Cars,Picture Car Coordinator,10,unit,1,coordinator,conditional,1,0,
ambos,149,picture_cars.assistant,Picture Cars,picture_cars,Asst. de Picture Cars,Picture Car Assistant,50,unit,0,assistant,conditional,0,0,
solo semilla,,picture_cars.driver,Picture Cars,picture_cars,Conductor de Action Cars,Action Car Driver,60,unit,0,operator,conditional,,0,NUEVO desde semilla
ambos,166,post.supervisor,Post Producción,post,Supervisor de Postproducción,Post Supervisor,10,production,1,supervisor,core,1,0,
ambos,167,post.coordinator,Post Producción,post,Coordinador de Postproducción,Post Coordinator,30,production,1,coordinator,core,0,0,HOD difiere
ambos,168,post.assistant_editor,Post Producción,post,Asistente de Postproducción,Assistant Editor,50,production,0,assistant,core,0,0,
solo semilla,,post.editor,Postproducción,post,Editor,Editor,20,production,0,key,core,,0,NUEVO desde semilla
solo semilla,,publicity.unit_publicist,Prensa / EPK,publicity,Prensa de Unidad,Unit Publicist,10,production,1,manager,conditional,,0,NUEVO desde semilla
solo semilla,,publicity.epk,Prensa / EPK,publicity,EPK,EPK Crew,40,unit,0,key,conditional,,0,NUEVO desde semilla
solo vivo,15,,Producción,production,Asst. Gerente de Unidad,FALTA,10,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
ambos,13,production.upm,Producción,production,Gerente de Producción,Unit Production Manager,10,unit,1,manager,core,0,1,HOD difiere
ambos,14,production.unit_manager,Producción,production,Gerente de Unidad,Unit Manager,20,unit,1,manager,core,0,3,HOD difiere
ambos,12,executive.line_producer,Producción,production,Productor en Línea,Line Producer,25,production,0,manager,core,1,1,HOD difiere
solo semilla,,production.production_assistant,Producción,production,Asistente de Producción,Production Assistant,60,unit,0,assistant,core,,0,NUEVO desde semilla
solo semilla,,executive.producer,Producción Ejecutiva,executive,Productor,Producer,20,production,0,manager,core,,0,NUEVO desde semilla
solo semilla,,executive.co_producer,Producción Ejecutiva,executive,Coproductor,Co-Producer,30,production,0,,core,,0,NUEVO desde semilla
solo vivo,24,,Productores,executive,Jefa de Equipo,FALTA,10,production,0,,core,0,0,PROPUESTO: rank/binding/name_en
ambos,22,executive.executive_producer,Productores,executive,Productor Ejecutivo,Executive Producer,10,production,1,manager,core,1,0,
solo vivo,27,,Productores,executive,Coordinador Ejecutivo,FALTA,30,production,0,,core,0,0,PROPUESTO: rank/binding/name_en
ambos,26,executive.exec_assistant,Productores,executive,Asistente Ejecutivo,Executive Assistant,50,production,0,assistant,core,0,0,
solo vivo,23,,Productores,executive,Coord. Ejecutivo,FALTA,50,production,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo vivo,25,,Productores,executive,Ejecutivo Creativo,FALTA,50,production,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo vivo,202,,Productores,executive,Representante Legal,FALTA,50,production,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo semilla,,props.prop_master,Props / Utilería,props,Jefe de Props,Property Master,10,unit,1,manager,core,,0,NUEVO desde semilla
solo semilla,,props.armorer,Props / Utilería,props,Armero,Armorer,40,unit,0,key,conditional,,0,NUEVO desde semilla
solo semilla,,props.assistant_props,Props / Utilería,props,Asistente de Props,Assistant Props,50,unit,0,assistant,core,,0,NUEVO desde semilla
ambos,48,electric.rigging_gaffer,Rigging,,Rigging Gaffer,Rigging Gaffer,20,unit,0,manager,conditional,1,0,HOD difiere
ambos,49,grip.rigging_key,Rigging,,Rigging Key Grip,Rigging Key Grip,20,unit,0,manager,conditional,1,0,HOD difiere
solo vivo,50,,Rigging,,Electric (rigging),FALTA,50,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo vivo,51,,Rigging,,Grip (rigging),FALTA,50,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
ambos,178,medical.department_lead,Salud y Seguridad,medical,Supervisor de Salud y Seguridad,Health & Safety Lead,10,unit,1,,core,1,2,
ambos,180,medical.set_medic,Salud y Seguridad,medical,Doctor en Set,Set Medic,30,unit,0,key,core,0,0,
solo semilla,,medical.covid_officer,Salud y Seguridad,medical,Oficial de Protocolos,Compliance Officer,40,unit,0,key,conditional,,0,NUEVO desde semilla
ambos,179,medical.assistant,Salud y Seguridad,medical,Asistente de S&S,H&S Assistant,50,unit,0,assistant,core,0,2,
solo vivo,181,,Salud y Seguridad,medical,Doctor de Construcción,FALTA,50,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
ambos,188,security.coordinator,Seguridad,security,Coordinador de Seguridad,Security Coordinator,10,unit,1,coordinator,core,1,0,
solo vivo,189,,Seguridad,security,Coordinador HG,FALTA,30,production,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo vivo,190,,Seguridad,security,Elemento de Seguridad HG,FALTA,50,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo semilla,,security.guard,Seguridad,security,Elemento de Seguridad,Security Guard,60,unit,0,operator,core,,0,NUEVO desde semilla
solo semilla,,compliance.crew_union_rep,Sindicatos y Cumplimiento,compliance,Delegado Sindical,Crew Union Rep,10,unit,1,key,jurisdictional,,0,NUEVO desde semilla
solo semilla,,compliance.talent_union_rep,Sindicatos y Cumplimiento,compliance,Delegado del ANDA,Talent Union Rep,10,unit,1,key,jurisdictional,,0,NUEVO desde semilla
solo semilla,,compliance.localizer,Sindicatos y Cumplimiento,compliance,Tropicalizador,Localization Advisor,30,production,0,coordinator,jurisdictional,,0,NUEVO desde semilla
ambos,52,sound.mixer,Sonido,sound,Sonido Directo,Production Sound Mixer,10,unit,1,manager,core,1,1,
ambos,53,sound.boom_operator,Sonido,sound,Operador de Boom,Boom Operator,40,unit,0,key,core,0,2,
ambos,54,sound.utility,Sonido,sound,Utility,Sound Utility,50,unit,0,assistant,core,0,0,
ambos,160,stunts.coordinator,Stunts,stunts,Coordinador de Stunts,Stunt Coordinator,10,unit,1,coordinator,conditional,1,1,
solo semilla,,stunts.rigger,Stunts,stunts,Rigger de Stunts,Stunt Rigger,40,unit,0,key,conditional,,0,NUEVO desde semilla
ambos,161,stunts.performer,Stunts,stunts,Stunt,Stunt Performer,60,unit,0,operator,conditional,0,3,
ambos,184,sustainability.lead,Sustentabilidad,sustainability,Coordinador de Sustentabilidad,Sustainability Lead,10,production,1,,conditional,0,0,HOD difiere
ambos,183,sustainability.lead,Sustentabilidad,sustainability,Jefa de Sustentabilidad,Sustainability Lead,10,production,1,,conditional,1,0,
solo vivo,187,,Sustentabilidad,sustainability,Greener Adicional en Set,FALTA,50,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
ambos,185,sustainability.eco_pa,Sustentabilidad,sustainability,Encargado de Logística Greener,Eco PA,60,unit,0,assistant,conditional,0,0,
ambos,186,sustainability.eco_pa,Sustentabilidad,sustainability,Greener en Set,Eco PA,60,unit,0,assistant,conditional,0,0,
